ticker,company_name,sector,talk_intensity_score,walk_weakness_score,integrity_weakness_score,cross_source_contradiction_score,final_inconsistency_index,index_percentile,review_priority_tier,explanation
NDSN,Nordson Corp,Industrials,0.9922,0.6133,0.5389,0.4211,0.7022,0.9494,High priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
AVGO,Broadcom Inc.,Technology,0.93,0.4538,0.8463,0.4403,0.6969,0.9416,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
CMS,Cms Energy Corporation,Utilities,0.9183,0.2915,0.9553,0.646,0.6968,0.9377,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
ITW,Illinois Tool Works Inc.,Industrials,0.9339,0.6079,0.716,0.2876,0.6955,0.9339,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
XOM,Exxon Mobil Corporation,Energy,0.3502,0.97,0.9222,0.5973,0.6876,0.93,High priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
FTV,Fortive Corporation,Technology,0.6654,0.9494,0.6109,0.3148,0.6871,0.9261,High priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
PNC,Pnc Financial Services Group,Financial Services,0.8171,0.8381,0.4533,0.3748,0.6843,0.9222,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
STT,State Street Corporation,Financial Services,0.5953,0.757,0.9767,0.3315,0.6805,0.9183,High priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
VLO,Valero Energy Corporation,Energy,0.6848,0.7441,0.9222,0.214,0.6794,0.9144,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
TSLA,"Tesla, Inc.",Consumer Cyclical,0.7276,0.7883,0.8463,0.1028,0.6758,0.9105,High priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
HBAN,Huntington Bancshares Inc,Financial Services,0.8949,0.6018,0.716,0.2559,0.6754,0.9066,High priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
DUK,Duke Energy Corporation,Utilities,0.9611,0.5659,0.5389,0.4093,0.6753,0.9027,High priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
JPM,Jpmorgan Chase & Co.,Financial Services,0.284,0.9176,0.9922,0.674,0.6742,0.8988,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
BMY,Bristol-Myers Squibb Co.,Healthcare,0.6187,0.7069,0.9767,0.323,0.6724,0.8949,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
LMT,Lockheed Martin Corp.,Industrials,0.5992,0.7863,0.9222,0.2809,0.6722,0.8911,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
MCHP,Microchip Technology Inc,Technology,0.7782,0.8328,0.5389,0.2707,0.6706,0.8872,Medium priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
PCAR,Paccar Inc,Industrials,0.7549,0.5786,0.9222,0.2976,0.6669,0.8833,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
ABBV,Abbvie Inc.,Healthcare,0.2763,0.9259,0.9553,0.6648,0.6652,0.8794,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
MPC,Marathon Petroleum Corporation,Energy,0.8716,0.6823,0.5389,0.289,0.6609,0.8755,Medium priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence; requires further ESG due diligence."
CSX,Csx Corporation,Industrials,0.8327,0.4839,0.8463,0.3557,0.6592,0.8716,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
EIX,Edison International,Utilities,0.9105,0.6275,0.4533,0.3997,0.6575,0.8677,Medium priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
PKG,Packaging Corp of America,Consumer Cyclical,0.7821,0.6084,0.8463,0.2132,0.6575,0.8638,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
VMC,Vulcan Materials Company,Basic Materials,0.8794,0.625,0.6109,0.2617,0.6567,0.8599,Medium priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
BSX,Boston Scientific Corp.,Healthcare,0.9027,0.6565,0.3696,0.4621,0.6562,0.856,Medium priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
KLAC,Kla Corporation,Technology,0.9416,0.3545,0.716,0.513,0.6561,0.8521,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
ABT,Abbott Laboratories,Healthcare,0.4514,0.7892,0.9553,0.4448,0.6525,0.8482,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
WMB,Williams Companies Inc.,Energy,0.8288,0.4389,0.8463,0.3989,0.6509,0.8444,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
AEP,"American Electric Power Company, Inc.",Utilities,0.786,0.5345,0.8463,0.2865,0.6477,0.8405,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
COP,Conocophillips,Energy,0.6498,0.734,0.8463,0.1707,0.6425,0.8366,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
APD,"Air Products & Chemicals, Inc.",Basic Materials,0.9689,0.1762,0.716,0.7013,0.6404,0.8327,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
FFIV,"F5, Inc.",Technology,0.9455,0.3707,0.6109,0.5,0.6393,0.8288,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
EOG,"Eog Resources, Inc.",Energy,0.5058,0.8133,0.8463,0.3252,0.6391,0.8249,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
LH,Labcorp Holdings Inc.,Healthcare,0.751,0.5646,0.8463,0.2482,0.6387,0.821,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
UHS,"Universal Health Services, Inc. Class B",Healthcare,0.0117,0.9721,0.9864,0.9677,0.6381,0.8171,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
APA,Apa Corporation,Energy,0.5214,0.9426,0.5389,0.4127,0.635,0.8132,Medium priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
LUV,Southwest Airlines Co.,Industrials,0.5253,0.7876,0.8463,0.2961,0.6338,0.8093,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
ALB,Albemarle Corporation,Basic Materials,0.7704,0.7062,0.716,0.0599,0.6337,0.8054,Medium priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
VZ,Verizon Communications,Communication Services,0.7432,0.3973,0.9222,0.4622,0.6331,0.8016,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
PSX,Phillips 66,Energy,0.5642,0.8446,0.716,0.2431,0.6305,0.7977,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
PANW,"Palo Alto Networks, Inc.",Technology,0.9767,0.3089,0.5389,0.5875,0.6304,0.7938,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
TDG,Transdigm Group Incorporated,Industrials,0.1245,0.8807,0.9961,0.82,0.63,0.7899,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
MTB,M&t Bank Corp.,Financial Services,0.716,0.8352,0.2179,0.5672,0.6298,0.786,Medium priority,"Flagged for high ESG disclosure intensity, weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
IDXX,Idexx Laboratories Inc,Healthcare,0.8755,0.3708,0.716,0.4468,0.6279,0.7821,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
INCY,Incyte Genomics Inc,Healthcare,0.5759,0.819,0.716,0.2114,0.6222,0.7782,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
AMZN,Amazon.com Inc,Consumer Cyclical,0.6576,0.8612,0.2957,0.4961,0.6221,0.7743,Medium priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
SHW,The Sherwin-Williams Company,Basic Materials,0.4553,0.7084,0.9222,0.4049,0.617,0.7704,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
SLB,Schlumberger Limited,Energy,0.7665,0.2299,0.9222,0.6291,0.6161,0.7665,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
SYK,Stryker Corporation,Healthcare,0.3813,0.814,0.8463,0.4497,0.6144,0.7626,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
MLM,Martin Marietta Materials,Basic Materials,0.3541,0.8205,0.8463,0.4798,0.6113,0.7588,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
PPG,"Ppg Industries, Inc.",Basic Materials,0.7004,0.4688,0.8463,0.3297,0.6045,0.7549,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
AIZ,"Assurant, Inc.",Financial Services,0.6031,0.758,0.716,0.1387,0.6025,0.751,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
RSG,Republic Services Inc.,Industrials,0.8482,0.5347,0.4533,0.3612,0.6021,0.7471,Medium priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
PCG,Pg&e Corporation,Utilities,0.6381,0.7921,0.4533,0.2938,0.5957,0.7432,Medium priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
TXT,"Textron, Inc.",Industrials,0.4825,0.8474,0.6109,0.3206,0.5933,0.7393,Medium priority,Flagged for weak external ESG evidence; requires further ESG due diligence.
SRE,Sempra,Utilities,0.9572,0.4193,0.0973,0.7525,0.5931,0.7354,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
YUM,"Yum! Brands, Inc.",Consumer Cyclical,0.6109,0.5623,0.8463,0.2631,0.5912,0.7315,Medium priority,Flagged for weak integrity signal; requires further ESG due diligence.
JBHT,Jb Hunt Transport Services Inc,Industrials,0.9844,0.1448,0.4533,0.7356,0.589,0.7276,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
LYB,Lyondellbasell Industries N.v. Class A,Basic Materials,0.7237,0.5479,0.716,0.1721,0.5867,0.7237,Medium priority,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,0.2296,0.8091,0.8463,0.599,0.5822,0.7198,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
CPRT,Copart Inc,Industrials,0.9494,0.3123,0.2957,0.6456,0.582,0.716,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
EQIX,"Equinix, Inc. Reit",Real Estate,0.9961,0.3034,0.0681,0.8356,0.5786,0.7121,Medium priority,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
PWR,"Quanta Services, Inc.",Industrials,0.6226,0.7988,0.2179,0.5159,0.5785,0.7082,Medium priority,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NTAP,"Netapp, Inc",Technology,0.8833,0.3442,0.4533,0.4937,0.5771,0.7043,Medium priority,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
ADM,Archer Daniels Midland Company,Consumer Defensive,0.0584,0.8797,0.8463,0.8052,0.5744,0.7004,Medium priority,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
AIG,"American International Group, Inc.",Financial Services,0.4202,0.7804,0.716,0.3326,0.5743,0.6965,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
TFX,Teleflex Incorporated,Healthcare,0.2218,0.8764,0.716,0.591,0.5724,0.6926,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
CCL,Carnival Corporation,Consumer Cyclical,0.5175,0.5898,0.8463,0.2993,0.5722,0.6887,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
SWKS,Skyworks Solutions Inc,Technology,0.5914,0.6811,0.716,0.1113,0.5712,0.6848,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
EMN,Eastman Chemical Company,Basic Materials,0.7471,0.5674,0.5389,0.1955,0.5688,0.6809,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
USB,U.S. Bancorp,Financial Services,0.4086,0.929,0.2957,0.5851,0.5686,0.677,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
LULU,Lululemon Athletica Inc.,Consumer Cyclical,0.7977,0.4358,0.5389,0.3229,0.5661,0.6732,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
BAX,Baxter International Inc.,Healthcare,0.3268,0.7015,0.8463,0.4643,0.5637,0.6693,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
AAPL,Apple Inc.,Technology,0.8016,0.5538,0.1556,0.5644,0.5625,0.6654,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
STLD,Steel Dynamics Inc,Basic Materials,0.5447,0.784,0.4533,0.2958,0.5609,0.6615,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
CHTR,Charter Comm Inc Del Cl a,Communication Services,0.3074,0.5877,0.9553,0.5628,0.5594,0.6537,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
MDT,Medtronic Plc,Healthcare,0.5292,0.6835,0.716,0.1728,0.5594,0.6576,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
BKNG,Booking Holdings Inc.,Consumer Cyclical,0.7393,0.5666,0.4533,0.2494,0.5568,0.6498,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
FMC,Fmc Corporation,Basic Materials,0.428,0.7308,0.716,0.2956,0.5566,0.6459,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
CAG,"Conagra Brands, Inc.",Consumer Defensive,0.2257,0.8329,0.716,0.558,0.5557,0.642,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
ETN,"Eaton Corporation, Plcs",Industrials,0.9533,0.2264,0.2179,0.7312,0.5548,0.6381,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,0.856,0.3941,0.2957,0.5182,0.5547,0.6342,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
SJM,The J.M. Smucker Company,Consumer Defensive,0.4981,0.7458,0.6109,0.2149,0.5525,0.6304,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
KMI,"Kinder Morgan, Inc.",Energy,0.7354,0.2674,0.716,0.4586,0.5496,0.6265,Standard review,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
EXR,"Extra Space Storage, Inc.",Real Estate,0.8599,0.4329,0.0331,0.7162,0.5449,0.6226,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
SPG,"Simon Property Group, Inc.",Real Estate,0.8093,0.3588,0.4533,0.4115,0.5433,0.6187,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
JNJ,Johnson & Johnson,Healthcare,0.0973,0.7725,0.8463,0.715,0.5423,0.6148,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
TMUS,"T-Mobile Us, Inc.",Communication Services,0.4747,0.7886,0.4533,0.3251,0.5422,0.6109,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
TPR,"Tapestry, Inc.",Consumer Cyclical,0.9066,0.3436,0.0331,0.767,0.5421,0.607,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
SWK,"Stanley Black & Decker, Inc.",Industrials,0.4591,0.6728,0.716,0.2382,0.5414,0.6031,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
HOLX,Hologic Inc,Healthcare,0.0623,0.6954,0.9553,0.7956,0.5408,0.5992,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
EQT,Eqt Corp,Energy,0.2179,0.7955,0.716,0.5422,0.5394,0.5953,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
UPS,"United Parcel Service, Inc. Class B",Industrials,0.677,0.3544,0.716,0.3437,0.538,0.5914,Standard review,"Flagged for high ESG disclosure intensity, weak integrity signal; requires further ESG due diligence."
MKC,"Mccormick & Company, Incorporated Non-Vtg Cs",Consumer Defensive,0.6965,0.5728,0.4533,0.2106,0.5379,0.5875,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
STX,Seagate Technology Holdings Plcs,Technology,0.7626,0.0874,0.716,0.6532,0.5343,0.5837,Standard review,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,0.9222,0.1996,0.2179,0.7136,0.5333,0.5798,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
AXP,American Express Company,Financial Services,0.4475,0.4879,0.8463,0.3802,0.5293,0.5759,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
RJF,"Raymond James Financial, Inc.",Financial Services,0.1712,0.8563,0.6109,0.6012,0.5292,0.572,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,0.5875,0.4912,0.716,0.1953,0.5255,0.5681,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
MTD,Mettler-Toledo International,Healthcare,0.9377,0.1975,0.0681,0.8127,0.523,0.5642,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
BWA,Borgwarner Inc.,Consumer Cyclical,0.9728,0.1144,0.0681,0.8824,0.5208,0.5603,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
IEX,Idex Corporation,Industrials,0.5136,0.7648,0.1556,0.5302,0.5199,0.5564,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
MSI,"Motorola Solutions, Inc.",Technology,0.8366,0.153,0.4533,0.5934,0.5184,0.5525,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
CNC,Centene Corporation,Healthcare,0.0428,0.5888,1.0,0.8317,0.5164,0.5486,Standard review,"Flagged for weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
FCX,Freeport-Mcmoran Inc.,Basic Materials,0.3891,0.8058,0.3696,0.4268,0.5159,0.5447,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
VTR,"Ventas, Inc.",Real Estate,0.8521,0.2296,0.2957,0.5922,0.5151,0.5409,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
COF,Capital One Financial,Financial Services,0.2685,0.7,0.716,0.4397,0.5131,0.537,Standard review,"Flagged for weak external ESG evidence, weak integrity signal; requires further ESG due diligence."
AWK,"American Water Works Company, Inc",Utilities,0.8132,0.3061,0.2957,0.5124,0.5125,0.5331,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
SNPS,Synopsys Inc,Technology,0.8405,0.2405,0.2957,0.5743,0.5116,0.5292,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
MMC,"Marsh & Mclennan Companies, Inc.",Financial Services,0.3774,0.6324,0.716,0.3055,0.5108,0.5253,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
CBRE,"Cbre Group, Inc.",Real Estate,0.7121,0.0741,0.716,0.6399,0.5106,0.5214,Standard review,"Flagged for high ESG disclosure intensity, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
CDNS,Cadence Design Systems,Technology,0.965,0.0878,0.0331,0.9058,0.5066,0.5175,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
PNR,Pentair Plc,Industrials,0.6537,0.4769,0.5389,0.1554,0.5029,0.5136,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BDX,"Becton, Dickinson and Co.",Healthcare,0.2023,0.7062,0.716,0.5088,0.5022,0.5097,Standard review,"Flagged for weak external ESG evidence, weak integrity signal, cross-source inconsistency; requires further ESG due diligence."
AEE,Ameren Corporation,Utilities,0.3696,0.6091,0.716,0.3071,0.5014,0.5058,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
REGN,Regeneron Pharmaceuticals Inc,Healthcare,0.3619,0.4634,0.8463,0.4425,0.5013,0.5019,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
GLW,Corning Incorporated,Technology,0.8444,0.2771,0.0973,0.6754,0.4994,0.4981,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
FIS,"Fidelity National Information Services, Inc.",Technology,0.6304,0.4162,0.6109,0.2051,0.4984,0.4942,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
EBAY,Ebay Inc,Consumer Cyclical,0.7899,0.3791,0.0681,0.6271,0.4979,0.4903,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
APTV,Aptiv Plc,Consumer Cyclical,0.8988,0.0865,0.2179,0.7553,0.4974,0.4864,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
XYL,Xylem Inc,Industrials,0.8054,0.331,0.0973,0.625,0.4944,0.4825,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
CSGP,Costar Group Inc,Real Estate,0.607,0.6064,0.1556,0.451,0.4931,0.4786,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
CMI,Cummins Inc.,Industrials,0.5798,0.3039,0.716,0.3636,0.4918,0.4747,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
DGX,Quest Diagnostics Inc.,Healthcare,0.537,0.6326,0.4533,0.1554,0.4917,0.4708,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
FDX,Fedex Corporation,Industrials,0.6342,0.3495,0.6109,0.2738,0.4901,0.4669,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
BIIB,Biogen Inc.,Healthcare,0.3152,0.6837,0.6109,0.3381,0.4883,0.463,Standard review,Flagged for weak external ESG evidence; requires further ESG due diligence.
ISRG,Intuitive Surgical Inc.,Healthcare,0.6926,0.4463,0.2179,0.4112,0.4816,0.4591,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
KHC,The Kraft Heinz Company,Consumer Defensive,0.0467,0.8416,0.5389,0.6949,0.4808,0.4553,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
NUE,Nucor Corporation,Basic Materials,0.1051,0.7687,0.6109,0.6005,0.4796,0.4514,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
AKAM,Akamai Technologies Inc,Technology,0.7043,0.3894,0.2957,0.3707,0.4781,0.4475,Standard review,Flagged for high ESG disclosure intensity; requires further ESG due diligence.
EQR,Equity Residential,Real Estate,0.7743,0.1739,0.3696,0.5304,0.4767,0.4436,Standard review,"Flagged for high ESG disclosure intensity, cross-source inconsistency; requires further ESG due diligence."
LDOS,"Leidos Holdings, Inc.",Technology,0.4319,0.4725,0.716,0.2661,0.476,0.4397,Standard review,Flagged for weak integrity signal; requires further ESG due diligence.
SBUX,Starbucks Corp,Consumer Cyclical,0.0778,0.7632,0.6109,0.6233,0.4719,0.4358,Standard review,"Flagged for weak external ESG evidence, cross-source inconsistency; requires further ESG due diligence."
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,0.6265,0.2093,0.6109,0.4096,0.4657,0.4319,Standard review,Flagged for moderate combined Talk-Walk signal; requires further ESG due diligence.
